date,Weight,BodyFatPercentage,LeanBodyMass,StepCount,DistanceWalkingRunning,BasalCaloriesBurned,ActiveCaloriesBurned,CaloriesIn,TDEE,NetCalories,TrendWeight,TrendBodyFatPercentage,TrendLeanBodyMass,TrendBasalCaloriesBurned,TrendActiveCaloriesBurned,TrendCaloriesIn,TrendTDEE,TrendNetCalories
2015-10-11,,,,2303.0,1.6644799999999995,,,,0.0,,,,,,,,0.0,
2015-10-12,,,,855.0,0.7099499999999997,,,,0.0,,,,,,,,0.0,
2015-10-13,,,,1187.0,1.0322799999999999,,,,0.0,,,,,,,,0.0,
2015-10-14,,,,1854.0,1.4339099999999998,,,,0.0,,,,,,,,0.0,
2015-10-15,,,,1622.0,1.36475,,,,0.0,,,,,,,,0.0,
2015-10-16,,,,1935.0,1.5023699999999998,,,,0.0,,,,,,,,0.0,
2015-10-17,,,,1523.0,1.2462900000000001,,,,0.0,,,,,,,,0.0,
2015-10-18,,,,2924.0,2.1843,,,,0.0,,,,,,,,0.0,
2015-10-19,,,,1411.0,1.1646,,,,0.0,,,,,,,,0.0,
2015-10-20,,,,1145.0,1.01809,,,,0.0,,,,,,,,0.0,
2015-10-21,,,,1345.0,1.0352599999999998,,,,0.0,,,,,,,,0.0,
2015-10-22,,,,852.0,0.6548200000000001,,,,0.0,,,,,,,,0.0,
2015-10-23,,,,1434.0,1.0715199999999998,,,,0.0,,,,,,,,0.0,
2015-10-24,,,,2705.0,2.1843700000000004,,,,0.0,,,,,,,,0.0,
2015-10-25,,,,729.0,0.5659700000000001,,,,0.0,,,,,,,,0.0,
2015-10-26,,,,2136.0,1.50437,,,,0.0,,,,,,,,0.0,
2015-10-27,,,,2001.0,1.5389599999999992,,,,0.0,,,,,,,,0.0,
2015-10-28,,,,1349.0,1.01414,,,,0.0,,,,,,,,0.0,
2015-10-29,,,,1795.0,1.3661500000000002,,,,0.0,,,,,,,,0.0,
2015-10-30,,,,1190.0,0.95939,,,,0.0,,,,,,,,0.0,
2015-10-31,,,,933.0,0.74683,,,,0.0,,,,,,,,0.0,
2015-11-01,,,,3072.0,2.2824999999999998,,,,0.0,,,,,,,,0.0,
2015-11-02,,,,537.0,0.49468,,,,0.0,,,,,,,,0.0,
2015-11-03,,,,2289.0,1.73744,,,,0.0,,,,,,,,0.0,
2015-11-04,,,,1186.0,0.9590300000000002,,,,0.0,,,,,,,,0.0,
2015-11-05,,,,1678.0,1.3379199999999998,,,,0.0,,,,,,,,0.0,
2015-11-06,,,,848.0,0.6994100000000001,,,,0.0,,,,,,,,0.0,
2015-11-12,,,,296.0,0.22360000000000002,,,,0.0,,,,,,,,0.0,
2015-11-13,,,,1752.0,1.33435,,,,0.0,,,,,,,,0.0,
2015-11-14,,,,952.0,0.65796,,,,0.0,,,,,,,,0.0,
2015-11-15,,,,501.0,0.44907,,,,0.0,,,,,,,,0.0,
2015-11-16,,,,1079.0,0.9654499999999997,,,,0.0,,,,,,,,0.0,
2015-11-17,,,,760.0,0.5775600000000002,,,,0.0,,,,,,,,0.0,
2015-11-18,,,,1673.0,1.37957,,,,0.0,,,,,,,,0.0,
2015-11-19,,,,964.0,0.8077599999999998,,,,0.0,,,,,,,,0.0,
2015-11-20,,,,2783.0,1.9991899999999998,,,,0.0,,,,,,,,0.0,
2015-11-21,,,,534.0,0.49104,,,,0.0,,,,,,,,0.0,
2015-11-22,,,,1067.0,0.8338499999999998,,,,0.0,,,,,,,,0.0,
2015-11-23,,,,1866.0,1.38606,,,,0.0,,,,,,,,0.0,
2015-11-24,,,,917.0,0.78955,,,,0.0,,,,,,,,0.0,
2015-11-25,,,,321.0,0.30155000000000004,,,,0.0,,,,,,,,0.0,
